episode,agent0_outcome,agent0_step,agent1_outcome,agent1_step
0,arrived,8,arrived,11
1,crashed,5,arrived,12
2,crashed,5,arrived,8
3,arrived,9,arrived,8
4,arrived,9,arrived,7
5,arrived,9,arrived,8
6,crashed,4,arrived,9
7,crashed,5,crashed,4
8,crashed,5,arrived,7
9,arrived,8,arrived,8
10,arrived,8,arrived,8
11,arrived,9,arrived,10
12,arrived,9,arrived,8
13,arrived,8,arrived,8
14,arrived,10,arrived,8
15,arrived,8,arrived,8
16,crashed,6,arrived,9
17,crashed,6,arrived,8
18,arrived,9,arrived,8
19,arrived,9,arrived,8
20,crashed,4,arrived,8
21,arrived,8,arrived,7
22,arrived,9,arrived,8
23,arrived,9,arrived,8
24,arrived,9,arrived,8
25,arrived,9,arrived,10
26,arrived,10,arrived,11
27,arrived,8,arrived,8
28,arrived,8,arrived,8
29,arrived,8,arrived,8
30,arrived,9,arrived,8
31,arrived,9,arrived,8
32,arrived,9,arrived,8
33,arrived,9,arrived,7
34,arrived,9,arrived,7
35,crashed,3,arrived,8
36,arrived,9,arrived,7
37,arrived,9,arrived,9
38,arrived,10,arrived,9
39,arrived,10,arrived,10
40,crashed,6,arrived,10
41,arrived,9,arrived,8
42,arrived,9,arrived,11
43,arrived,9,arrived,8
44,arrived,8,arrived,11
45,arrived,8,arrived,8
46,arrived,9,arrived,10
47,arrived,8,arrived,7
48,arrived,10,arrived,8
49,arrived,8,arrived,9
50,arrived,9,arrived,10
51,arrived,9,arrived,10
52,arrived,9,arrived,8
53,arrived,9,arrived,8
54,crashed,4,arrived,8
55,arrived,10,arrived,8
56,arrived,9,arrived,7
57,arrived,8,arrived,7
58,arrived,8,arrived,8
59,arrived,9,crashed,9
60,crashed,6,crashed,4
61,arrived,8,arrived,8
62,arrived,9,arrived,8
63,arrived,9,arrived,7
64,crashed,4,arrived,9
65,arrived,9,arrived,9
66,arrived,9,arrived,6
67,arrived,9,arrived,13
68,arrived,8,arrived,8
69,arrived,9,arrived,8
70,arrived,8,arrived,8
71,arrived,8,arrived,8
72,arrived,9,arrived,7
73,arrived,9,arrived,7
74,arrived,8,arrived,8
75,arrived,8,arrived,9
76,arrived,9,arrived,8
77,crashed,5,arrived,16
78,arrived,9,arrived,8
79,arrived,9,arrived,7
80,arrived,8,arrived,8
81,arrived,9,arrived,8
82,arrived,8,arrived,8
83,crashed,5,arrived,9
84,arrived,8,arrived,8
85,arrived,9,arrived,8
86,arrived,9,arrived,8
87,arrived,9,arrived,9
88,arrived,8,arrived,8
89,arrived,8,arrived,8
90,crashed,6,arrived,7
