junction_radius,conflict_ttc,release_margin,occupied_radius,conflict_radius,min_closing,tie_eps,match_eps,seed_offset,episodes,collision_rate_pct,collision_rate_lo_pct,collision_rate_hi_pct,per_agent_collision_rate_pct,per_agent_collision_rate_lo_pct,per_agent_collision_rate_hi_pct,arrival_rate_pct,arrival_rate_lo_pct,arrival_rate_hi_pct,timeout_rate_pct,timeout_rate_lo_pct,timeout_rate_hi_pct,avg_time_to_cross_s
20.0,2.0,0.5,12.0,4.0,0.5,0.5,1.0,0,300,25.7,21.1,30.9,15.2,12.5,18.3,79.3,75.9,82.4,5.5,3.9,7.6,9.64
20.0,2.0,0.5,15.0,4.0,0.5,0.5,1.0,0,300,22.7,18.3,27.7,13.0,10.5,15.9,86.2,83.2,88.7,0.8,0.4,1.9,8.79
20.0,2.0,0.5,18.0,4.0,0.5,0.5,1.0,0,300,21.0,16.8,26.0,11.5,9.2,14.3,87.8,85.0,90.2,0.7,0.3,1.7,8.5
20.0,2.0,1.5,12.0,4.0,0.5,0.5,1.0,0,300,25.7,21.1,30.9,15.2,12.5,18.3,79.3,75.9,82.4,5.5,3.9,7.6,9.71
20.0,2.0,1.5,15.0,4.0,0.5,0.5,1.0,0,300,22.7,18.3,27.7,13.0,10.5,15.9,86.0,83.0,88.5,1.0,0.5,2.2,8.82
20.0,2.0,1.5,18.0,4.0,0.5,0.5,1.0,0,300,21.0,16.8,26.0,11.5,9.2,14.3,87.8,85.0,90.2,0.7,0.3,1.7,8.57
20.0,2.0,3.0,12.0,4.0,0.5,0.5,1.0,0,300,26.0,21.4,31.2,15.3,12.7,18.4,78.7,75.2,81.8,6.0,4.4,8.2,9.79
20.0,2.0,3.0,15.0,4.0,0.5,0.5,1.0,0,300,22.7,18.3,27.7,13.0,10.5,15.9,86.0,83.0,88.5,1.0,0.5,2.2,8.96
20.0,2.0,3.0,18.0,4.0,0.5,0.5,1.0,0,300,21.0,16.8,26.0,11.5,9.2,14.3,87.8,85.0,90.2,0.7,0.3,1.7,8.71
20.0,3.0,0.5,12.0,4.0,0.5,0.5,1.0,0,300,26.0,21.4,31.2,16.0,13.3,19.1,68.0,64.2,71.6,16.0,13.3,19.1,10.54
20.0,3.0,0.5,15.0,4.0,0.5,0.5,1.0,0,300,21.3,17.1,26.3,13.0,10.5,15.9,77.7,74.2,80.8,9.3,7.3,11.9,9.65
20.0,3.0,0.5,18.0,4.0,0.5,0.5,1.0,0,300,23.3,18.9,28.4,12.7,10.2,15.6,81.8,78.5,84.7,5.5,3.9,7.6,8.97
20.0,3.0,1.5,12.0,4.0,0.5,0.5,1.0,0,300,26.3,21.7,31.6,16.2,13.4,19.3,66.8,63.0,70.5,17.0,14.2,20.2,10.57
20.0,3.0,1.5,15.0,4.0,0.5,0.5,1.0,0,300,21.7,17.4,26.7,13.2,10.7,16.1,77.2,73.6,80.3,9.7,7.6,12.3,9.71
